days_off_in_future_from_tomorrow,day_off_in_row,crimes,days_off_in_future_from_today,is_day_off,month,weekday,year,day
1,1,426,2,1,2,5,11,5
0,2,184,1,1,2,6,11,6
0,0,153,0,0,2,0,11,7
0,0,330,0,0,2,1,11,8
0,0,333,0,0,2,2,11,9
2,0,382,0,0,2,4,11,11
1,1,386,2,1,2,5,11,12
0,0,364,0,0,2,1,11,15
0,0,270,0,0,2,2,11,16
0,0,377,0,0,2,3,11,17
2,0,420,0,0,2,4,11,18
1,1,451,2,1,2,5,11,19
2,0,373,0,0,2,4,11,25
1,1,471,2,1,2,5,11,26
0,2,198,1,1,2,6,11,27
0,0,156,0,0,2,0,11,28
0,0,558,0,0,3,1,11,1
0,0,315,0,0,3,2,11,2
0,0,369,0,0,3,3,11,3
2,0,377,0,0,3,4,11,4
1,1,391,2,1,3,5,11,5
0,2,197,1,1,3,6,11,6
1,0,161,0,0,3,0,11,7
0,1,186,1,1,3,1,11,8
0,0,112,0,0,3,2,11,9
0,0,395,0,0,3,3,11,10
2,0,377,0,0,3,4,11,11
1,1,385,2,1,3,5,11,12
0,2,371,1,1,3,6,11,13
0,0,186,0,0,3,0,11,14
0,0,359,0,0,3,1,11,15
0,0,406,0,0,3,2,11,16
0,0,390,0,0,3,3,11,17
2,0,377,0,0,3,4,11,18
1,1,417,2,1,3,5,11,19
0,2,206,1,1,3,6,11,20
0,0,149,0,0,3,0,11,21
0,0,420,0,0,3,1,11,22
0,0,391,0,0,3,2,11,23
0,0,410,0,0,3,3,11,24
2,0,429,0,0,3,4,11,25
1,1,473,2,1,3,5,11,26
0,0,185,0,0,3,0,11,28
0,0,506,0,0,3,3,11,31
2,0,589,0,0,4,4,11,1
1,1,332,2,1,4,5,11,2
0,2,193,1,1,4,6,11,3
0,0,398,0,0,4,1,11,5
0,0,329,0,0,4,2,11,6
0,0,347,0,0,4,3,11,7
2,0,404,0,0,4,4,11,8
1,1,531,2,1,4,5,11,9
0,2,221,1,1,4,6,11,10
0,0,173,0,0,4,0,11,11
0,0,419,0,0,4,1,11,12
0,0,406,0,0,4,2,11,13
0,0,387,0,0,4,3,11,14
2,0,449,0,0,4,4,11,15
1,1,469,2,1,4,5,11,16
0,2,293,1,1,4,6,11,17
0,0,173,0,0,4,0,11,18
0,0,408,0,0,4,1,11,19
0,0,373,0,0,4,2,11,20
0,0,371,0,0,4,3,11,21
2,0,386,0,0,4,4,11,22
1,1,479,2,1,4,5,11,23
0,2,216,1,1,4,6,11,24
0,0,118,0,0,4,0,11,25
0,0,427,0,0,4,1,11,26
0,0,372,0,0,4,2,11,27
0,0,407,0,0,4,3,11,28
2,0,486,0,0,4,4,11,29
1,1,632,2,1,4,5,11,30
0,2,296,1,1,5,6,11,1
1,0,139,0,0,5,0,11,2
0,1,150,1,1,5,1,11,3
0,0,109,0,0,5,2,11,4
0,0,325,0,0,5,3,11,5
3,0,376,0,0,5,4,11,6
2,1,484,3,1,5,5,11,7
1,2,206,2,1,5,6,11,8
0,3,181,1,1,5,0,11,9
0,0,132,0,0,5,1,11,10
0,0,403,0,0,5,2,11,11
0,0,395,0,0,5,3,11,12
2,0,376,0,0,5,4,11,13
1,1,414,2,1,5,5,11,14
0,2,368,1,1,5,6,11,15
0,0,177,0,0,5,0,11,16
0,0,369,0,0,5,1,11,17
0,0,379,0,0,5,2,11,18
0,0,391,0,0,5,3,11,19
2,0,438,0,0,5,4,11,20
0,2,203,1,1,5,6,11,22
0,0,153,0,0,5,0,11,23
0,0,493,0,0,5,0,11,30
0,0,493,0,0,5,1,11,31
0,0,520,0,0,6,2,11,1
0,0,340,0,0,6,3,11,2
2,0,368,0,0,6,4,11,3
1,1,444,2,1,6,5,11,4
0,2,226,1,1,6,6,11,5
0,0,120,0,0,6,0,11,6
0,0,453,0,0,6,1,11,7
0,0,364,0,0,6,2,11,8
0,0,410,0,0,6,3,11,9
2,0,401,0,0,6,4,11,10
1,1,536,2,1,6,5,11,11
0,2,209,1,1,6,6,11,12
0,0,153,0,0,6,0,11,13
0,0,514,0,0,6,1,11,14
0,0,410,0,0,6,2,11,15
0,0,367,0,0,6,3,11,16
2,0,447,0,0,6,4,11,17
1,1,520,2,1,6,5,11,18
0,2,240,1,1,6,6,11,19
0,0,149,0,0,6,0,11,20
0,0,460,0,0,6,1,11,21
0,0,372,0,0,6,2,11,22
0,0,473,0,0,6,3,11,23
2,0,454,0,0,6,4,11,24
1,1,523,2,1,6,5,11,25
0,2,256,1,1,6,6,11,26
0,0,160,0,0,6,0,11,27
0,0,497,0,0,6,1,11,28
0,0,438,0,0,6,2,11,29
0,0,653,0,0,6,3,11,30
2,0,834,0,0,7,4,11,1
1,1,330,2,1,7,5,11,2
0,2,194,1,1,7,6,11,3
0,0,123,0,0,7,0,11,4
0,0,343,0,0,7,1,11,5
0,0,330,0,0,7,2,11,6
0,0,369,0,0,7,3,11,7
2,0,400,0,0,7,4,11,8
1,1,424,2,1,7,5,11,9
0,2,185,1,1,7,6,11,10
0,0,160,0,0,7,0,11,11
0,0,410,0,0,7,1,11,12
0,0,385,0,0,7,2,11,13
0,0,401,0,0,7,3,11,14
2,0,436,0,0,7,4,11,15
1,1,474,2,1,7,5,11,16
0,2,208,1,1,7,6,11,17
0,0,169,0,0,7,0,11,18
0,0,404,0,0,7,1,11,19
0,0,398,0,0,7,2,11,20
0,0,432,0,0,7,3,11,21
2,0,436,0,0,7,4,11,22
1,1,485,2,1,7,5,11,23
0,2,192,1,1,7,6,11,24
0,0,158,0,0,7,0,11,25
0,0,417,0,0,7,1,11,26
0,0,379,0,0,7,2,11,27
0,0,422,0,0,7,3,11,28
2,0,441,0,0,7,4,11,29
0,2,307,1,1,7,6,11,31
0,0,239,0,0,8,0,11,1
0,0,361,0,0,8,1,11,2
0,0,330,0,0,8,2,11,3
0,0,352,0,0,8,3,11,4
2,0,393,0,0,8,4,11,5
1,1,470,2,1,8,5,11,6
0,2,207,1,1,8,6,11,7
0,0,161,0,0,8,0,11,8
0,0,399,0,0,8,1,11,9
0,0,401,0,0,8,2,11,10
0,0,404,0,0,8,3,11,11
2,0,415,0,0,8,4,11,12
1,1,556,2,1,8,5,11,13
0,2,240,1,1,8,6,11,14
0,0,171,0,0,8,0,11,15
0,0,463,0,0,8,1,11,16
0,0,406,0,0,8,2,11,17
0,0,389,0,0,8,3,11,18
2,0,465,0,0,8,4,11,19
1,1,533,2,1,8,5,11,20
0,2,147,1,1,8,6,11,21
0,0,230,0,0,8,0,11,22
0,0,462,0,0,8,1,11,23
0,0,386,0,0,8,3,11,25
2,0,482,0,0,8,4,11,26
1,1,532,2,1,8,5,11,27
0,2,203,1,1,8,6,11,28
0,0,173,0,0,8,0,11,29
0,0,533,0,0,8,1,11,30
0,0,526,0,0,8,2,11,31
0,0,646,0,0,9,3,11,1
